"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000273173.5:ENST00000577949.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273217.1:ENST00000514667.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273238.2:ENST00000610212.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273274.1:ENST00000609129.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273291.5:ENST00000443313.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273294.1:ENST00000382079.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273331.1:ENST00000442633.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273398.6:ENST00000406334.3:CDS",0.175214818177335,1.16356692628901,4.0804728567969,0.285154923736556,0.775525452875901,NA
"ENSG00000273513.1:ENST00000620247.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273514.1:ENST00000622588.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273559.4:ENST00000614790.4:CDS",34.5881402896842,-0.0514088830989811,0.329470808605316,-0.156034713110397,0.876005659216175,NA
"ENSG00000273590.4:ENST00000624304.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273604.1:ENST00000621654.1:CDS",1.63575081166828,0.243847802384784,1.61011103148961,0.151447817955254,0.879622471167773,NA
"ENSG00000273611.4:ENST00000617429.4:CDS",17.5855297543191,-0.260336044596892,0.458689064957905,-0.567565404291432,0.570330103928804,NA
"ENSG00000273696.4:ENST00000610598.4:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273706.4:ENST00000614239.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273734.1:ENST00000621615.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273749.4:ENST00000617928.4:CDS",52.2313136276051,0.172554259015391,0.2880096314639,0.599126696348068,0.549088400460112,0.907219504087266
"ENSG00000273777.4:ENST00000621342.4:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273802.2:ENST00000541790.3:CDS",55.0332485973889,0.638681395364613,0.302259304157803,2.11302476575269,0.0345986482125091,0.397657825743773
"ENSG00000273820.1:ENST00000621775.1:CDS",0.177618956496131,1.16356692628901,4.0804728567969,0.285154923736556,0.775525452875901,NA
"ENSG00000273841.4:ENST00000328663.8:CDS",42.6467772411314,-0.103946404073581,0.301576721330612,-0.344676484361757,0.730337598759669,NA
"ENSG00000273899.4:ENST00000359114.8:CDS",21.6556175970075,0.495551749999389,0.407397017500118,1.21638531631922,0.223838174870976,NA
"ENSG00000273976.1:ENST00000614055.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273983.1:ENST00000614378.1:CDS",19.8909001713251,1.34806817087946,0.445142288934655,3.02839834450632,0.00245853776949519,NA
"ENSG00000274049.4:ENST00000452361.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000274070.1:ENST00000616305.1:CDS",0.801113549609732,-0.343311078803627,2.27179000018655,-0.151119196217712,0.879881690008182,NA
